individualCount,year,decimalLatitude,decimalLongitude,vernacularName
50,2010,-37.6383,144.96778,Eastern Grey Kangaroo
50,1991,-37.42746,144.95053,Eastern Grey Kangaroo
50,2010,-38.37302,144.93797,Eastern Grey Kangaroo
50,2005,-38.46884,144.93055,Eastern Grey Kangaroo
50,2005,-38.4697,144.92824,Eastern Grey Kangaroo
50,1990,-37.64966,144.8277,Eastern Grey Kangaroo
50,2021,-37.6166,144.731,Eastern Grey Kangaroo
50,1993,-36.76916,144.46408,Eastern Grey Kangaroo
50,1997,-37.95683,144.42633,Eastern Grey Kangaroo
50,2008,-36.16722,144.24361,Eastern Grey Kangaroo
50,1998,-36.14016,144.24297,Eastern Grey Kangaroo
50,2016,-37.9358,143.82972,Eastern Grey Kangaroo
50,2021,-36.78269,143.15204,Eastern Grey Kangaroo
50,2001,-37.14576,142.74951,Eastern Grey Kangaroo
50,2001,-37.13972,142.73136,Eastern Grey Kangaroo
50,2004,-37.30066,142.69668,Eastern Grey Kangaroo
50,2016,-37.30066,142.69668,Eastern Grey Kangaroo
50,2005,-37.30699,142.69457,Eastern Grey Kangaroo
50,2014,-37.308,142.68782,Eastern Grey Kangaroo
50,1982,-37.20685,142.29301,Eastern Grey Kangaroo
49,1985,-37.20681,145.8763,Eastern Grey Kangaroo
49,2017,-37.65444,144.87528,Eastern Grey Kangaroo
48,2017,-37.72722,144.71861,Eastern Grey Kangaroo
48,2021,-37.76666,144.6849,Eastern Grey Kangaroo
48,2021,-37.76666,144.6849,Eastern Grey Kangaroo
48,1992,-36.77647,144.38542,Eastern Grey Kangaroo
48,1982,-36.62351,143.20966,Eastern Grey Kangaroo
47,1996,-38.03855,147.60583,Eastern Grey Kangaroo
47,2020,-37.73055,144.59484,Eastern Grey Kangaroo
46,2021,-37.64562,145.08775,Eastern Grey Kangaroo
46,2021,-37.59483,144.76803,Eastern Grey Kangaroo
46,1984,-37.45686,142.29302,Eastern Grey Kangaroo
45,2006,-36.7911,144.99788,Eastern Grey Kangaroo
45,2017,-37.6175,144.90722,Eastern Grey Kangaroo
45,2017,-37.65444,144.87528,Eastern Grey Kangaroo
45,1989,-37.64331,142.33269,Eastern Grey Kangaroo
44,1980,-37.37351,143.37633,Eastern Grey Kangaroo
44,2012,-37.14225,142.74473,Eastern Grey Kangaroo
42,2015,-38.7853,145.95194,Eastern Grey Kangaroo
42,1975,-37.09019,142.39301,Eastern Grey Kangaroo
40,1993,-37.92976,147.30112,Eastern Grey Kangaroo
40,2002,-36.16141,146.32138,Eastern Grey Kangaroo
40,2011,-36.3805,146.0872,Eastern Grey Kangaroo
40,1990,-36.4031,145.95685,Eastern Grey Kangaroo
40,1993,-36.39679,145.68374,Eastern Grey Kangaroo
40,2021,-37.02539,145.65246,Eastern Grey Kangaroo
40,2021,-36.45471,145.52163,Eastern Grey Kangaroo
