occurrenceID,catalogNumber,individualCount,year,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,vernacularName,species
5602127,5602127,100,2006,-36.7927,144.99656,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5576006,5576006,100,2005,-37.53457,144.99513,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5634578,5634578,100,2007,-36.7775,144.98472,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5729908,5729908,100,2009,-37.19306,144.97639,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4172569,4172569,100,2001,-36.83391,144.97321,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6542999,6542999,100,2013,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
6935199,6935199,100,2015,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
10134882,10134882,100,2019,-37.6383,144.9678,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4032191,4032191,100,1997,-37.65575,144.86493,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4293947,4293947,100,2004,-37.54763,144.72201,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4294162,4294162,100,2004,-37.54763,144.72201,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
8929886,8929886,100,2017,-37.7318,144.6898,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4293915,4293915,100,2003,-37.55051,144.68457,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4291745,4291745,100,2003,-38.25216,144.66818,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
4294279,4294279,100,2004,-38.25216,144.66818,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
5677863,5677863,100,2004,-36.75222,144.66806,EPSG:4326,Macropus giganteus,Eastern Grey Kangaroo,Macropus giganteus
